employee_id,employee_name,role,phone,salary,shift,joining_date
1,Employee_1,Manager,9949799643,38876,Morning,2025-03-06
2,Employee_2,Waiter,9904796273,23645,Evening,2024-12-12
3,Employee_3,Cashier,9902688736,58326,Morning,2023-10-15
4,Employee_4,Delivery,9196565451,40874,Evening,2024-03-29
5,Employee_5,Waiter,9842621891,50969,Evening,2024-06-04
6,Employee_6,Manager,9826480841,31498,Evening,2024-11-20
7,Employee_7,Delivery,9935640508,26365,Evening,2025-02-19
8,Employee_8,Chef,9146913133,54642,Evening,2023-06-28
9,Employee_9,Delivery,9275767448,59780,Morning,2024-07-10
10,Employee_10,Waiter,9368102662,21891,Morning,2024-01-02
11,Employee_11,Waiter,9541992933,24064,Morning,2024-10-13
12,Employee_12,Waiter,9247307094,26949,Evening,2024-11-17
13,Employee_13,Cashier,9355413796,33840,Morning,2024-06-11
14,Employee_14,Cashier,9242917316,41033,Evening,2023-05-17
15,Employee_15,Chef,9730881003,54914,Morning,2023-12-08
16,Employee_16,Manager,9688689880,45828,Morning,2024-11-24
17,Employee_17,Chef,9742831274,48223,Evening,2025-05-01
18,Employee_18,Chef,9222920082,36962,Morning,2024-01-05
19,Employee_19,Cashier,9321655502,20844,Morning,2025-07-06
20,Employee_20,Waiter,9426314041,30918,Morning,2024-12-19
21,Employee_21,Waiter,9581055796,25404,Morning,2023-11-29
22,Employee_22,Cashier,9603219240,55302,Evening,2023-10-24
23,Employee_23,Chef,9698645061,22706,Morning,2023-01-12
24,Employee_24,Cashier,9905784842,49819,Morning,2025-02-04
25,Employee_25,Waiter,9893493029,54939,Evening,2023-04-22
26,Employee_26,Cashier,9566262030,50004,Morning,2025-03-13
27,Employee_27,Delivery,9445544119,18544,Evening,2025-07-30
28,Employee_28,Manager,9792033845,36741,Evening,2024-10-30
29,Employee_29,Chef,9183907350,27086,Morning,2023-01-26
30,Employee_30,Cashier,9255839934,37419,Evening,2023-07-10
